'2018-03-04T20.07.14' 19.312 C, 66.7616 F
'2018-03-04T20.07.15' 19.312 C, 66.7616 F
'2018-03-04T20.07.17' 19.312 C, 66.7616 F
'2018-03-04T20.07.19' 19.375 C, 66.875 F
'2018-03-04T20.07.21' 19.375 C, 66.875 F
'2018-03-04T20.07.23' 19.375 C, 66.875 F
'2018-03-04T20.07.25' 19.375 C, 66.875 F
'2018-03-04T20.07.27' 19.562 C, 67.2116 F
'2018-03-04T20.07.29' 19.937 C, 67.8866 F
'2018-03-04T20.07.31' 20.375 C, 68.675 F
'2018-03-04T20.07.33' 20.75 C, 69.35 F
'2018-03-04T20.07.35' 20.937 C, 69.6866 F
'2018-03-04T20.07.37' 21.25 C, 70.25 F
