'2018-03-04T20.17.49' 23.187 C, 73.73660000000001 F
'2018-03-04T20.17.51' 23.125 C, 73.625 F
'2018-03-04T20.17.53' 23.062 C, 73.5116 F
'2018-03-04T20.17.55' 23.0 C, 73.4 F
'2018-03-04T20.17.57' 22.937 C, 73.2866 F
'2018-03-04T20.17.59' 22.875 C, 73.175 F
'2018-03-04T20.18.00' 22.812 C, 73.0616 F
'2018-03-04T20.18.02' 22.687 C, 72.8366 F
'2018-03-04T20.18.04' 22.625 C, 72.725 F
'2018-03-04T20.18.06' 22.562 C, 72.61160000000001 F
'2018-03-04T20.18.08' 22.5 C, 72.5 F
'2018-03-04T20.18.10' 22.437 C, 72.3866 F
'2018-03-04T20.18.12' 22.375 C, 72.275 F
'2018-03-04T20.18.14' 22.312 C, 72.1616 F
'2018-03-04T20.18.16' 22.25 C, 72.05 F
'2018-03-04T20.18.18' 22.25 C, 72.05 F
'2018-03-04T20.18.20' 22.187 C, 71.9366 F
'2018-03-04T20.18.22' 22.125 C, 71.825 F
'2018-03-04T20.18.23' 22.062 C, 71.7116 F
'2018-03-04T20.18.25' 22.0 C, 71.6 F
'2018-03-04T20.18.27' 22.0 C, 71.6 F
'2018-03-04T20.18.29' 21.937 C, 71.48660000000001 F
'2018-03-04T20.18.31' 21.937 C, 71.48660000000001 F
'2018-03-04T20.18.33' 21.875 C, 71.375 F
'2018-03-04T20.18.35' 21.812 C, 71.2616 F
'2018-03-04T20.18.37' 21.812 C, 71.2616 F
'2018-03-04T20.18.39' 21.75 C, 71.15 F
'2018-03-04T20.18.41' 21.75 C, 71.15 F
'2018-03-04T20.18.43' 21.687 C, 71.0366 F
'2018-03-04T20.18.45' 21.687 C, 71.0366 F
'2018-03-04T20.18.47' 21.625 C, 70.925 F
'2018-03-04T20.18.48' 21.625 C, 70.925 F
'2018-03-04T20.18.50' 21.562 C, 70.8116 F
'2018-03-04T20.18.52' 21.562 C, 70.8116 F
'2018-03-04T20.18.54' 21.5 C, 70.7 F
'2018-03-04T20.18.56' 21.5 C, 70.7 F
'2018-03-04T20.18.58' 21.562 C, 70.8116 F
'2018-03-04T20.19.00' 21.75 C, 71.15 F
'2018-03-04T20.19.02' 22.0 C, 71.6 F
'2018-03-04T20.19.04' 22.187 C, 71.9366 F
'2018-03-04T20.19.06' 22.687 C, 72.8366 F
'2018-03-04T20.19.08' 23.437 C, 74.1866 F
'2018-03-04T20.19.10' 23.937 C, 75.0866 F
'2018-03-04T20.19.11' 24.187 C, 75.5366 F
'2018-03-04T20.19.13' 24.312 C, 75.7616 F
'2018-03-04T20.19.15' 24.312 C, 75.7616 F
'2018-03-04T20.19.17' 24.187 C, 75.5366 F
