'2018-03-04T00.00.48' 22.75 C, 72.95 F
'2018-03-04T00.00.50' 22.75 C, 72.95 F
'2018-03-04T00.00.52' 22.75 C, 72.95 F
'2018-03-04T00.00.54' 22.75 C, 72.95 F
'2018-03-04T00.00.55' 22.75 C, 72.95 F
'2018-03-04T00.00.57' 22.75 C, 72.95 F
'2018-03-04T00.00.59' 22.75 C, 72.95 F
'2018-03-04T00.01.01' 22.75 C, 72.95 F
'2018-03-04T00.01.03' 22.75 C, 72.95 F
'2018-03-04T00.01.05' 22.75 C, 72.95 F
'2018-03-04T00.01.07' 22.75 C, 72.95 F
'2018-03-04T00.01.09' 22.812 C, 73.0616 F
'2018-03-04T00.01.11' 22.812 C, 73.0616 F
'2018-03-04T00.01.13' 22.75 C, 72.95 F
'2018-03-04T00.01.15' 22.75 C, 72.95 F
'2018-03-04T00.01.17' 22.812 C, 73.0616 F
'2018-03-04T00.01.18' 22.812 C, 73.0616 F
'2018-03-04T00.01.20' 22.812 C, 73.0616 F
'2018-03-04T00.01.22' 22.812 C, 73.0616 F
'2018-03-04T00.01.24' 22.75 C, 72.95 F
'2018-03-04T00.01.26' 22.812 C, 73.0616 F
'2018-03-04T00.01.28' 22.812 C, 73.0616 F
'2018-03-04T00.01.30' 22.812 C, 73.0616 F
'2018-03-04T00.01.32' 22.812 C, 73.0616 F
'2018-03-04T00.01.34' 22.812 C, 73.0616 F
'2018-03-04T00.01.36' 22.812 C, 73.0616 F
'2018-03-04T00.01.38' 22.812 C, 73.0616 F
'2018-03-04T00.01.40' 22.812 C, 73.0616 F
'2018-03-04T00.01.42' 22.812 C, 73.0616 F
'2018-03-04T00.01.43' 22.937 C, 73.2866 F
'2018-03-04T00.01.45' 23.125 C, 73.625 F
'2018-03-04T00.01.47' 23.437 C, 74.1866 F
'2018-03-04T00.01.49' 23.812 C, 74.86160000000001 F
'2018-03-04T00.01.51' 24.187 C, 75.5366 F
'2018-03-04T00.01.53' 24.625 C, 76.325 F
'2018-03-04T00.01.55' 25.062 C, 77.11160000000001 F
'2018-03-04T00.01.57' 25.375 C, 77.675 F
'2018-03-04T00.01.59' 25.625 C, 78.125 F
'2018-03-04T00.02.01' 25.75 C, 78.35 F
'2018-03-04T00.02.03' 25.812 C, 78.4616 F
'2018-03-04T00.02.05' 25.875 C, 78.575 F
'2018-03-04T00.02.06' 25.875 C, 78.575 F
'2018-03-04T00.02.08' 25.875 C, 78.575 F
'2018-03-04T00.02.10' 25.875 C, 78.575 F
'2018-03-04T00.02.12' 25.812 C, 78.4616 F
'2018-03-04T00.02.14' 25.75 C, 78.35 F
'2018-03-04T00.02.16' 25.75 C, 78.35 F
'2018-03-04T00.02.18' 25.625 C, 78.125 F
'2018-03-04T00.02.20' 25.625 C, 78.125 F
'2018-03-04T00.02.22' 25.5 C, 77.9 F
'2018-03-04T00.02.24' 25.437 C, 77.7866 F
'2018-03-04T00.02.26' 25.375 C, 77.675 F
'2018-03-04T00.02.28' 25.312 C, 77.5616 F
'2018-03-04T00.02.30' 25.25 C, 77.45 F
