'2018-03-04T20.11.29' 19.312 C, 66.7616 F
'2018-03-04T20.11.31' 19.312 C, 66.7616 F
'2018-03-04T20.11.33' 19.312 C, 66.7616 F
'2018-03-04T20.11.35' 19.312 C, 66.7616 F
'2018-03-04T20.11.37' 19.312 C, 66.7616 F
'2018-03-04T20.11.38' 19.312 C, 66.7616 F
'2018-03-04T20.11.40' 19.312 C, 66.7616 F
'2018-03-04T20.11.42' 19.312 C, 66.7616 F
'2018-03-04T20.11.44' 19.312 C, 66.7616 F
'2018-03-04T20.11.46' 19.312 C, 66.7616 F
'2018-03-04T20.11.48' 19.312 C, 66.7616 F
'2018-03-04T20.11.50' 19.312 C, 66.7616 F
'2018-03-04T20.11.52' 19.312 C, 66.7616 F
'2018-03-04T20.11.54' 19.312 C, 66.7616 F
'2018-03-04T20.11.56' 19.312 C, 66.7616 F
'2018-03-04T20.11.58' 19.312 C, 66.7616 F
'2018-03-04T20.12.00' 19.312 C, 66.7616 F
'2018-03-04T20.12.01' 19.312 C, 66.7616 F
'2018-03-04T20.12.03' 19.312 C, 66.7616 F
'2018-03-04T20.12.05' 19.312 C, 66.7616 F
'2018-03-04T20.12.07' 19.375 C, 66.875 F
'2018-03-04T20.12.09' 19.625 C, 67.325 F
'2018-03-04T20.12.11' 19.812 C, 67.6616 F
'2018-03-04T20.12.13' 20.0 C, 68.0 F
'2018-03-04T20.12.15' 20.187 C, 68.3366 F
'2018-03-04T20.12.17' 20.312 C, 68.5616 F
'2018-03-04T20.12.19' 20.375 C, 68.675 F
'2018-03-04T20.12.21' 20.437 C, 68.7866 F
'2018-03-04T20.12.23' 20.5 C, 68.9 F
'2018-03-04T20.12.25' 20.562 C, 69.0116 F
'2018-03-04T20.12.26' 20.562 C, 69.0116 F
'2018-03-04T20.12.28' 20.562 C, 69.0116 F
'2018-03-04T20.12.30' 20.562 C, 69.0116 F
'2018-03-04T20.12.32' 20.562 C, 69.0116 F
'2018-03-04T20.12.34' 20.5 C, 68.9 F
'2018-03-04T20.12.36' 20.5 C, 68.9 F
'2018-03-04T20.12.38' 20.5 C, 68.9 F
'2018-03-04T20.12.40' 20.437 C, 68.7866 F
'2018-03-04T20.12.42' 20.437 C, 68.7866 F
'2018-03-04T20.12.44' 20.437 C, 68.7866 F
'2018-03-04T20.12.46' 20.375 C, 68.675 F
