'2017-09-29T04.31.43' 23.937 C, 75.0866 F
'2017-09-29T04.31.45' 23.937 C, 75.0866 F
'2017-09-29T04.31.47' 23.937 C, 75.0866 F
'2017-09-29T04.31.49' 23.937 C, 75.0866 F
'2017-09-29T04.31.51' 23.937 C, 75.0866 F
'2017-09-29T04.31.53' 23.937 C, 75.0866 F
'2017-09-29T04.31.55' 23.937 C, 75.0866 F
'2017-09-29T04.31.57' 23.937 C, 75.0866 F
'2017-09-29T04.31.58' 23.937 C, 75.0866 F
'2017-09-29T04.32.00' 23.937 C, 75.0866 F
'2017-09-29T04.32.02' 85.0 C, 185.0 F
'2017-09-29T04.32.04' 23.875 C, 74.975 F
'2017-09-29T04.32.06' 23.875 C, 74.975 F
'2017-09-29T04.32.08' 23.875 C, 74.975 F
'2017-09-29T04.32.10' 23.875 C, 74.975 F
'2017-09-29T04.32.12' 23.875 C, 74.975 F
'2017-09-29T04.32.14' 23.875 C, 74.975 F
'2017-09-29T04.32.16' 23.875 C, 74.975 F
'2017-09-29T04.32.18' 23.875 C, 74.975 F
'2017-09-29T04.32.20' 23.875 C, 74.975 F
'2017-09-29T04.32.22' 23.875 C, 74.975 F
'2017-09-29T04.32.23' 23.875 C, 74.975 F
'2017-09-29T04.32.25' 23.875 C, 74.975 F
'2017-09-29T04.32.27' 23.875 C, 74.975 F
'2017-09-29T04.32.29' 23.875 C, 74.975 F
'2017-09-29T04.32.31' 23.875 C, 74.975 F
'2017-09-29T04.32.33' 23.875 C, 74.975 F
'2017-09-29T04.32.35' 23.875 C, 74.975 F
'2017-09-29T04.32.37' 23.875 C, 74.975 F
'2017-09-29T04.32.39' 23.875 C, 74.975 F
'2017-09-29T04.32.41' 23.875 C, 74.975 F
'2017-09-29T04.32.43' 23.875 C, 74.975 F
'2017-09-29T04.32.45' 23.875 C, 74.975 F
'2017-09-29T04.32.46' 23.875 C, 74.975 F
'2017-09-29T04.32.48' 23.875 C, 74.975 F
'2017-09-29T04.32.50' 23.875 C, 74.975 F
'2017-09-29T04.32.52' 23.875 C, 74.975 F
'2017-09-29T04.32.54' 23.812 C, 74.86160000000001 F
'2017-09-29T04.32.56' 23.812 C, 74.86160000000001 F
'2017-09-29T04.32.58' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.00' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.02' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.04' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.06' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.08' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.10' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.11' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.13' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.15' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.17' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.19' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.21' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.23' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.25' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.27' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.29' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.31' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.33' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.34' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.36' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.38' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.40' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.42' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.44' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.46' 23.812 C, 74.86160000000001 F
'2017-09-29T04.33.48' 23.75 C, 74.75 F
'2017-09-29T04.33.50' 23.75 C, 74.75 F
'2017-09-29T04.33.52' 23.75 C, 74.75 F
'2017-09-29T04.33.54' 23.75 C, 74.75 F
'2017-09-29T04.33.56' 23.75 C, 74.75 F
'2017-09-29T04.33.58' 23.75 C, 74.75 F
'2017-09-29T04.33.59' 23.75 C, 74.75 F
'2017-09-29T04.34.01' 23.75 C, 74.75 F
'2017-09-29T04.34.03' 23.75 C, 74.75 F
'2017-09-29T04.34.05' 23.75 C, 74.75 F
'2017-09-29T04.34.07' 23.75 C, 74.75 F
'2017-09-29T04.34.09' 23.75 C, 74.75 F
