'2018-03-04T20.20.26' 22.062 C, 71.7116 F
'2018-03-04T20.20.27' 22.062 C, 71.7116 F
'2018-03-04T20.20.29' 22.0 C, 71.6 F
'2018-03-04T20.20.30' 22.0 C, 71.6 F
'2018-03-04T20.20.31' 22.0 C, 71.6 F
'2018-03-04T20.20.33' 21.937 C, 71.48660000000001 F
'2018-03-04T20.20.34' 21.937 C, 71.48660000000001 F
'2018-03-04T20.20.36' 21.937 C, 71.48660000000001 F
'2018-03-04T20.20.37' 21.875 C, 71.375 F
'2018-03-04T20.20.38' 21.875 C, 71.375 F
'2018-03-04T20.20.40' 21.875 C, 71.375 F
'2018-03-04T20.20.41' 21.812 C, 71.2616 F
'2018-03-04T20.20.43' 21.812 C, 71.2616 F
'2018-03-04T20.20.44' 21.812 C, 71.2616 F
'2018-03-04T20.20.45' 21.812 C, 71.2616 F
'2018-03-04T20.20.47' 21.75 C, 71.15 F
'2018-03-04T20.20.48' 21.75 C, 71.15 F
'2018-03-04T20.20.49' 21.75 C, 71.15 F
'2018-03-04T20.20.51' 21.75 C, 71.15 F
'2018-03-04T20.20.52' 21.75 C, 71.15 F
'2018-03-04T20.20.53' 21.687 C, 71.0366 F
'2018-03-04T20.20.55' 21.687 C, 71.0366 F
'2018-03-04T20.20.56' 21.687 C, 71.0366 F
'2018-03-04T20.20.58' 21.687 C, 71.0366 F
'2018-03-04T20.20.59' 21.875 C, 71.375 F
'2018-03-04T20.21.00' 22.125 C, 71.825 F
'2018-03-04T20.21.02' 22.437 C, 72.3866 F
'2018-03-04T20.21.03' 22.812 C, 73.0616 F
'2018-03-04T20.21.04' 23.125 C, 73.625 F
'2018-03-04T20.21.06' 23.5 C, 74.3 F
'2018-03-04T20.21.07' 23.937 C, 75.0866 F
'2018-03-04T20.21.09' 24.312 C, 75.7616 F
'2018-03-04T20.21.10' 24.75 C, 76.55 F
'2018-03-04T20.21.11' 25.187 C, 77.3366 F
'2018-03-04T20.21.13' 25.625 C, 78.125 F
'2018-03-04T20.21.14' 26.062 C, 78.9116 F
'2018-03-04T20.21.15' 26.5 C, 79.7 F
'2018-03-04T20.21.17' 26.875 C, 80.375 F
'2018-03-04T20.21.18' 27.187 C, 80.9366 F
